N, Time, Prime
598000, 0.029589, 8928169
599000, 0.031465, 8944249
600000, 0.031624, 8960453
601000, 0.030580, 8976589
602000, 0.030550, 8992441
603000, 0.033734, 9008771
604000, 0.030770, 9025013
605000, 0.030460, 9041083
606000, 0.030869, 9057427
607000, 0.030377, 9073357
608000, 0.032198, 9089141
609000, 0.031199, 9104989
610000, 0.030862, 9121439
611000, 0.030028, 9137573
612000, 0.030740, 9153341
613000, 0.031613, 9169561
614000, 0.031030, 9185507
615000, 0.030260, 9201281
616000, 0.031338, 9217441
617000, 0.032709, 9233047
618000, 0.032058, 9249217
619000, 0.030643, 9265169
620000, 0.031185, 9281011
621000, 0.030541, 9297259
622000, 0.033649, 9313079
623000, 0.031824, 9329407
624000, 0.033487, 9345547
625000, 0.032374, 9361217
626000, 0.033251, 9377419
627000, 0.032839, 9393557
628000, 0.032427, 9409753
629000, 0.033727, 9425963
630000, 0.033188, 9442229
631000, 0.033923, 9458509
632000, 0.034614, 9474461
633000, 0.035514, 9490661
634000, 0.035611, 9506437
635000, 0.036302, 9522577
636000, 0.038138, 9538877
637000, 0.037453, 9554879
638000, 0.035300, 9571027
639000, 0.036567, 9586229
640000, 0.036948, 9602443
641000, 0.036272, 9618643
642000, 0.035075, 9634841
643000, 0.034733, 9650573
644000, 0.034856, 9666719
645000, 0.034894, 9682597
646000, 0.034337, 9699203
647000, 0.033006, 9715309
648000, 0.034628, 9731081
649000, 0.037268, 9747149
650000, 0.037653, 9763393
651000, 0.037049, 9779941
652000, 0.037868, 9795809
653000, 0.037608, 9811819
654000, 0.036497, 9827821
655000, 0.035983, 9844277
656000, 0.038194, 9860437
657000, 0.035929, 9876781
658000, 0.036366, 9892823
659000, 0.035302, 9909191
660000, 0.040481, 9925439
661000, 0.037542, 9941293
662000, 0.040039, 9957683
663000, 0.037198, 9974021
664000, 0.038163, 9990727
665000, 0.036516, 10006741
666000, 0.038375, 10022693
667000, 0.036740, 10038773
668000, 0.036801, 10054549
669000, 0.036564, 10070891
670000, 0.037848, 10086767
671000, 0.036305, 10102973
672000, 0.036699, 10119217
673000, 0.036283, 10135421
674000, 0.037751, 10151017
675000, 0.036598, 10167551
676000, 0.036844, 10183879
677000, 0.037763, 10200469
678000, 0.037359, 10216799
679000, 0.038131, 10232603
680000, 0.036584, 10248899
681000, 0.038013, 10264697
682000, 0.034971, 10280807
683000, 0.034392, 10296973
684000, 0.035275, 10313707
685000, 0.035287, 10329547
686000, 0.035929, 10345649
687000, 0.041457, 10361749
688000, 0.036911, 10378021
689000, 0.035230, 10394051
690000, 0.034033, 10410139
691000, 0.034239, 10426043
692000, 0.037918, 10442197
693000, 0.037976, 10458089
694000, 0.037142, 10474171
695000, 0.035308, 10490189
696000, 0.038333, 10506281
697000, 0.039431, 10522549
698000, 0.037099, 10538911
699000, 0.036121, 10554857
700000, 0.041681, 10570841
701000, 0.042788, 10587179
702000, 0.038606, 10603517
703000, 0.036303, 10619957
704000, 0.037279, 10635809
705000, 0.035939, 10651679
706000, 0.038030, 10668083
707000, 0.037676, 10683857
708000, 0.037960, 10699921
709000, 0.035656, 10715609
710000, 0.036417, 10732003
711000, 0.035899, 10748321
712000, 0.036561, 10764709
713000, 0.037509, 10781131
714000, 0.037562, 10797559
715000, 0.036445, 10813469
716000, 0.036874, 10830161
717000, 0.038992, 10845899
718000, 0.037995, 10862011
719000, 0.038854, 10878323
720000, 0.038416, 10894817
721000, 0.040141, 10910609
722000, 0.037603, 10926739
723000, 0.040698, 10942961
724000, 0.038293, 10959061
725000, 0.038517, 10975507
726000, 0.038829, 10991713
727000, 0.038836, 11007853
728000, 0.037673, 11024357
729000, 0.038400, 11040707
730000, 0.037439, 11056729
731000, 0.039114, 11072767
732000, 0.037625, 11088859
733000, 0.037987, 11104823
734000, 0.037090, 11120761
735000, 0.040550, 11137871
736000, 0.038389, 11153843
737000, 0.039133, 11169857
738000, 0.038323, 11185679
739000, 0.038972, 11201947
740000, 0.038304, 11218439
741000, 0.039017, 11234813
742000, 0.038734, 11250937
743000, 0.038994, 11267197
744000, 0.040659, 11283893
745000, 0.040689, 11299993
746000, 0.042569, 11316289
747000, 0.040649, 11332487
748000, 0.042617, 11348977
749000, 0.047305, 11365099
750000, 0.042225, 11381621
751000, 0.040891, 11397817
752000, 0.041389, 11414251
753000, 0.041235, 11430313
754000, 0.041837, 11446829
755000, 0.041440, 11462747
756000, 0.041472, 11478767
757000, 0.046356, 11495321
758000, 0.042322, 11511733
759000, 0.041104, 11527897
760000, 0.041030, 11543549
761000, 0.040058, 11559973
762000, 0.040933, 11576347
763000, 0.041427, 11592311
764000, 0.039561, 11608511
765000, 0.040014, 11623939
766000, 0.040443, 11641103
767000, 0.039839, 11656933
768000, 0.040040, 11673229
769000, 0.042112, 11689781
770000, 0.040006, 11705891
771000, 0.041605, 11722283
772000, 0.040236, 11738647
773000, 0.040349, 11754961
774000, 0.039990, 11771453
775000, 0.040973, 11787331
776000, 0.040929, 11803549
777000, 0.040626, 11819833
778000, 0.038966, 11836469
779000, 0.042047, 11852921
780000, 0.041101, 11869021
781000, 0.041082, 11885201
782000, 0.040976, 11901623
783000, 0.041079, 11917777
784000, 0.041823, 11933939
785000, 0.039947, 11950111
786000, 0.040726, 11966111
787000, 0.040924, 11982689
788000, 0.043077, 11998843
789000, 0.042053, 12015373
790000, 0.041418, 12031867
791000, 0.042012, 12048221
792000, 0.041689, 12064097
793000, 0.041143, 12080699
794000, 0.042759, 12097411
795000, 0.040629, 12113483
796000, 0.042245, 12129989
797000, 0.042024, 12145853
798000, 0.041568, 12162253
799000, 0.043490, 12179047
800000, 0.042421, 12195257
801000, 0.042540, 12211669
802000, 0.040971, 12227801
803000, 0.043148, 12244091
804000, 0.041255, 12260483
805000, 0.043160, 12276697
806000, 0.043725, 12292967
807000, 0.043159, 12309053
808000, 0.042842, 12325057
809000, 0.043696, 12342073
810000, 0.041903, 12358069
811000, 0.042643, 12373871
812000, 0.042327, 12390401
813000, 0.042991, 12406657
814000, 0.041977, 12422341
815000, 0.042229, 12439081
816000, 0.042947, 12455419
817000, 0.042796, 12471917
818000, 0.044774, 12488051
819000, 0.043527, 12505133
820000, 0.044763, 12521009
821000, 0.043406, 12537719
822000, 0.043697, 12553901
823000, 0.046337, 12570553
824000, 0.044182, 12586859
825000, 0.042983, 12603127
826000, 0.044241, 12619129
827000, 0.042918, 12635587
828000, 0.044239, 12651923
829000, 0.042689, 12668809
830000, 0.044450, 12684713
831000, 0.043186, 12701099
832000, 0.050513, 12717239
833000, 0.046139, 12733337
834000, 0.049218, 12749557
835000, 0.050869, 12765901
836000, 0.049181, 12781919
837000, 0.052006, 12798427
838000, 0.053134, 12814993
839000, 0.048927, 12831127
840000, 0.046437, 12847433
841000, 0.046549, 12863689
842000, 0.047215, 12880121
843000, 0.051312, 12896743
844000, 0.046847, 12913471
845000, 0.047894, 12930031
846000, 0.045911, 12946607
847000, 0.048721, 12963091
848000, 0.050454, 12979583
849000, 0.048634, 12996131
850000, 0.052780, 13012261
851000, 0.047763, 13028539
852000, 0.047967, 13045391
853000, 0.045273, 13062017
854000, 0.051456, 13078477
855000, 0.048305, 13095431
856000, 0.045918, 13111601
857000, 0.048048, 13128139
858000, 0.052821, 13144267
859000, 0.048726, 13160971
860000, 0.047543, 13177433
861000, 0.046365, 13193519
862000, 0.046961, 13209871
863000, 0.045383, 13226159
864000, 0.045237, 13242787
865000, 0.045446, 13259377
866000, 0.048877, 13275607
867000, 0.047226, 13292281
868000, 0.048974, 13308343
869000, 0.048214, 13324867
870000, 0.046732, 13341187
871000, 0.048270, 13357573
872000, 0.048426, 13373953
873000, 0.049306, 13390259
874000, 0.048186, 13406527
875000, 0.047578, 13423493
876000, 0.046809, 13439477
877000, 0.047810, 13456603
878000, 0.046720, 13472947
879000, 0.048609, 13489561
880000, 0.047099, 13506011
881000, 0.048415, 13522583
882000, 0.047472, 13539059
883000, 0.049629, 13555669
884000, 0.047989, 13572011
885000, 0.049337, 13588247
886000, 0.048893, 13604713
887000, 0.048721, 13620833
888000, 0.049289, 13637251
889000, 0.047598, 13653781
890000, 0.048553, 13669741
891000, 0.047613, 13686229
892000, 0.048815, 13702817
893000, 0.048129, 13718951
894000, 0.048603, 13735679
895000, 0.048083, 13751909
896000, 0.049266, 13768411
897000, 0.048365, 13784923
898000, 0.049516, 13801199
899000, 0.048584, 13817459
900000, 0.049511, 13834103
901000, 0.050439, 13850027
902000, 0.048511, 13866863
903000, 0.049990, 13882949
904000, 0.047640, 13899209
905000, 0.048093, 13915397
906000, 0.047118, 13931821
907000, 0.048041, 13948411
908000, 0.048878, 13965253
909000, 0.048765, 13982063
910000, 0.047806, 13998679
911000, 0.050572, 14015347
912000, 0.048432, 14031581
913000, 0.049154, 14048291
914000, 0.048270, 14064889
915000, 0.049322, 14081183
916000, 0.048135, 14097583
917000, 0.048701, 14113591
918000, 0.048977, 14130107
919000, 0.047474, 14146591
920000, 0.049082, 14163143
921000, 0.050474, 14179699
922000, 0.049222, 14196733
923000, 0.048723, 14213267
924000, 0.049258, 14230057
925000, 0.052196, 14246137
926000, 0.052205, 14262433
927000, 0.054927, 14278717
928000, 0.051972, 14295077
929000, 0.050980, 14311663
930000, 0.052366, 14328269
931000, 0.051406, 14344529
932000, 0.049803, 14360273
933000, 0.050491, 14376911
934000, 0.049795, 14392801
935000, 0.049992, 14409457
936000, 0.049096, 14425907
937000, 0.051620, 14442613
938000, 0.050221, 14459239
939000, 0.056227, 14475847
940000, 0.049719, 14492237
941000, 0.051735, 14508971
942000, 0.048971, 14525573
943000, 0.049936, 14542001
944000, 0.048684, 14558483
945000, 0.052853, 14574719
946000, 0.050512, 14591029
947000, 0.051594, 14607583
948000, 0.050569, 14624549
949000, 0.048984, 14641219
950000, 0.050553, 14657917
951000, 0.048535, 14674321
952000, 0.052961, 14690549
953000, 0.050710, 14707211
954000, 0.051290, 14723659
955000, 0.050477, 14740007
956000, 0.052999, 14756519
957000, 0.051213, 14772787
958000, 0.051991, 14789057
959000, 0.050522, 14805377
960000, 0.053066, 14822231
961000, 0.051430, 14838689
962000, 0.051961, 14855083
963000, 0.051562, 14871629
964000, 0.053074, 14888563
965000, 0.052824, 14905183
966000, 0.050573, 14921911
967000, 0.054306, 14938531
968000, 0.057545, 14954453
969000, 0.053076, 14971741
970000, 0.051959, 14988613
971000, 0.052488, 15004973
972000, 0.051916, 15021551
973000, 0.052875, 15037879
974000, 0.052448, 15054223
975000, 0.053551, 15070831
976000, 0.051716, 15087629
977000, 0.054041, 15104087
978000, 0.051739, 15120757
979000, 0.052405, 15137069
980000, 0.054051, 15153847
981000, 0.052769, 15170027
982000, 0.053604, 15186883
983000, 0.053133, 15203803
984000, 0.052711, 15220327
985000, 0.051905, 15236747
986000, 0.052983, 15253109
987000, 0.053194, 15269489
988000, 0.053280, 15285967
989000, 0.052216, 15302359
990000, 0.055369, 15318907
991000, 0.052860, 15335633
992000, 0.052957, 15352069
993000, 0.053130, 15368449
994000, 0.061431, 15385841
995000, 0.057779, 15402719
996000, 0.057187, 15419293
997000, 0.056847, 15435941
998000, 0.054425, 15452873
999000, 0.055573, 15469313
1000000, 0.056828, 15485863
